Combined_Key,Last_Update,Confirmed,Deaths,Recovered,Incident_Rate,Case_Fatality_Ratio
Poland,2022-02-01 04:21:11,4886154,105194,,12910.415610594397,2.152899806268898
Portugal,2022-02-01 04:21:11,2639802,19905,,25888.76977636016,0.7540338252641675
Qatar,2022-02-01 04:21:11,339147,645,,11771.604895420436,0.1901830179833523
Romania,2022-02-01 04:21:11,2216525,60025,,11521.78833187907,2.7080678088449264
"Adygea Republic, Russia",2022-02-01 04:21:11,30216,822,,6664.666854884245,2.7204130262112787
"Altai Krai, Russia",2022-02-01 04:21:11,132806,7348,,5651.126770152506,5.532882550487177
"Altai Republic, Russia",2022-02-01 04:21:11,26656,557,,12223.99031472556,2.0895858343337337
"Amur Oblast, Russia",2022-02-01 04:21:11,59334,672,,7431.389837980821,1.1325715441399535
"Arkhangelsk Oblast, Russia",2022-02-01 04:21:11,139885,1561,,12110.961812181176,1.1159166458162062
"Astrakhan Oblast, Russia",2022-02-01 04:21:11,88948,2659,,8741.697902928116,2.989387057606692
"Bashkortostan Republic, Russia",2022-02-01 04:21:11,132078,4747,,3250.5162684551674,3.594088341737458
"Belgorod Oblast, Russia",2022-02-01 04:21:11,87384,1924,,5638.128469632408,2.201776068845555
"Bryansk Oblast, Russia",2022-02-01 04:21:11,104377,3249,,8619.203258182202,3.1127547256579517
"Buryatia Republic, Russia",2022-02-01 04:21:11,86668,2605,,8803.152021663547,3.005722988877094
"Chechen Republic, Russia",2022-02-01 04:21:11,35181,1005,,2448.257840569917,2.856655581137546
"Chelyabinsk Oblast, Russia",2022-02-01 04:21:11,164182,6481,,4700.266473062402,3.947448563179886
"Chukotka Autonomous Okrug, Russia",2022-02-01 04:21:11,3101,40,,6283.9426116559935,1.289906481780071
"Chuvashia Republic, Russia",2022-02-01 04:21:11,51791,4202,,4206.830057581855,8.11337877237358
"Dagestan Republic, Russia",2022-02-01 04:21:11,72782,3325,,2375.480802967474,4.568437250968646
"Ingushetia Republic, Russia",2022-02-01 04:21:11,31544,507,,6463.364908419955,1.6072787217854425
